_id,Gemeente,CBS gemeentecode,Nummer stembureau,Naam stembureau,Gebruikersdoel het gebouw,Website locatie,Wijknaam,CBS wijknummer,Buurtnaam,CBS buurtnummer,BAG referentienummer,Straatnaam,Huisnummer,Huisnummertoevoeging,Postcode,Plaats,Extra adresaanduiding,X,Y,Longitude,Latitude,Districtcode,Openingstijden,Mindervaliden toegankelijk,Invalidenparkeerplaatsen,Akoestiek,Mindervalide toilet aanwezig,Kieskring ID,Hoofdstembureau,Contactgegevens,Beschikbaarheid,ID,UUID
1,Haaren,GM0788,5,De Es,gezondheidszorgfunctie,https://www.haaren.nl,Wijk 03 Esch,WK078803,Esch,BU07880300,0788200000001515,Dorpsstraat,5,,5296LT,Esch,,,,5.291454,51.611882,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,,Haaren,Haaren,"de Es, Dorpsstraat 5c, 5296 LT Esch. Telefoon via gemeente Haaren 0411-627282",https://www.haaren.nl,NLODSGM0788stembureaus20180321002,2866f2e38e214930ab8ff8ca191e360d
2,Wijk bij Duurstede,GM0352,3,Basisschool De Werkschuit,woonfunctie,,Wijk 00 Wijk bij Duurstede,WK035200,Wijk bij Duurstede,BU03520000,0352200000018544,Notengaard,17,,3962JD,Wijk bij Duurstede,,,,5.3444019,51.9813822,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Wijk bij Duurstede,Wijk bij Duurstede,verkiezingen@wijkbijduurstede.nl,https://www.wijkbijduurstede.nl/,NLODSGM0352stembureaus20180321002,af707c2f7e704e378f62e0a28b7026a0
3,Tiel,GM0281,6,De Vier Gravinnen,bijeenkomstfunctie,,Tiel kern,WK028100,Hertogenwijk,BU02810002,0281200000065070,De Vier Gravinnen,2,,4001RZ,Tiel,,,,5.4281822,51.8813878,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Tiel,Tiel,"Team Verkiezingen, verkiezingen@tiel.nl 0344-637111",https://www.tiel.nl/verkiezingen,NLODSGM0281stembureaus20180321002,d7212e6e89b34472b6cb8454e827e8d1
4,Delft,GM0503,24,TU Fac Elektrotechn Wisk & Informat,onderwijsfunctie,,Wijk 28 Wippolder,WK050328,TU-Campus,BU05032805,0503200000033255,Mekelweg,4,,2628CD,Delft,,,,4.37365519491809,51.9988350038992,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,,,,,Delft,Delft,https://www.delft.nl/contact,http://data-delft.opendata.arcgis.com/datasets/c717695124d44742bb0521d9db3fd744_0,NLODSGM0503stembureaus20180321002,0bea2e8bbce44802807b7826c2fbb101
5,Cranendonck,GM1706,11,Gemeentehuis Cranendonck,kantoorfunctie,,Wijk 00 Budel,WK170600,Budel,BU17060000,1706100000058283,Capucijnerplein,1,,6021CA,Budel,,,,5.57637175,51.27333462,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Cranendonck,Cranendonck,"Team Burgerdiensten, verkiezingen@cranendonck.nl 14-0495",https://www.cranendonck.nl,NLODSGM1706stembureaus20180321002,7be352435d6c47578a692025295524b0
6,Oudewater,GM0589,1,Stadskantoor,"kantoorfunctie, winkelfunctie",,Oudewater,WK058902,Kern Oudewater,BU05890201,0589200000261071,Waardsedijk,219,,3421NE,Oudewater,,,,4.87477939999997,52.0203248,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Oudewater,Oudewater,"Gemeente Oudewater, tel. 14 0348, burgerzaken@oudewater.nl",https://www.oudewater.nl/gemeente_en_bestuur/inspreken-en-meedoen/verkiezingen-en-referenda,NLODSGM0589stembureaus20180321002,f22c9795ad5147148f77913d2bd1733b
7,Leudal,GM1640,16,Gemeenschapshuis De Roffert,"bijeenkomstfunctie, sportfunctie",http://www.deroffert.nl/,Buggenum,WK164006,Kern Buggenum,BU16400600,1640200000075796,Berikstraat,11,,6082AM,Buggenum,,,,5.974833,51.232129,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,,,,Leudal,Leudal,verkiezingen@leudal.nl,https://www.leudal.nl/bestuur-en-organisatie/verkiezingen-gemeenteraad_43167/,NLODSGM1640stembureaus20180321002,10c6d89055584d5cac1277ab4617879d
8,Haaren,GM0788,2,Gemeentehuis,kantoorfunctie,https://www.haaren.nl,Wijk 01 Haaren,WK078801,Haaren,BU07880100,0788200000003799,Mgr Bekkersplein,2,,5076AV,Haaren,,,,5.227086,51.601807,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,Y,Y,Haaren,Haaren,"Gemeente Haaren, afdeling verkiezingen. Mgr Bekkersplein 2, 5076 AV Haaren. 0411-627282",https://www.haaren.nl,NLODSGM0788stembureaus20180321002,8a58ecee88b845a2b17f68a236fbc5ec
9,Elburg,GM0230,1,Gemeentehuis Oostendorp,kantoorfunctie,https://www.elburg.nl/,Wijk 01 Elburg,WK023001,Oostendorp,BU02300104,0230100000004576,Zuiderzeestraatweg Oost,19,,8081LA,Elburg,hoofdingang,,,5.85540392,52.44188156,,2018-03-21T07:30:00 tot 2018-03-21T21:00:00,Y,Y,,Y,Elburg,Elburg,"Team verkiezingen, gemeente Elburg verkiezingen@elburg.nl",https://www.elburg.nl/Bestuur/Verkiezingen,NLODSGM0230stembureaus20180321002,333c02b89f6d430f924aeb16264749ff
10,Veldhoven,GM0861,10,Ontmoetingscentrum het Tweespan,bijeenkomstfunctie,,Wijk 00 Veldhoven,WK086100,Zonderwijk,BU08610004,0861200000399127,Mira,2,,5505AT,Veldhoven,,,,5.39656018,51.41246576,,2017-03-21T07:30:00 tot 2017-03-21T21:00:00,Y,,,,Veldhoven,Veldhoven,"Team Verkiezingen, verkiezingen@veldhoven.nl 14 040 gemeente Veldhoven. Burgerzaken/Team Verkiezingen Postbus 10101, 5500 GA Veldhoven",https://www.veldhoven.nl/stemlokalen,NLODSGM0861stembureaus20180321002,677d6da6de37408ba243b0226a6b1ff3
