Lijst,,1.Gem.huis,2.Nudehof,3.Rumah Kita,4.'t Startpunt,5 Gerk.Vrij,6. Johan Friso Z,7. Pomhorst,8. Tarthorst,9. Tuindorp,10.Piekschooll,11. Margrietschool,12. Vlinder,13 Belmonte  ,14.Bibliotheek,15 Nol in't Bosch,16.Neijenoord,17. WAVV,18.Brandweer,19.Campus,TOTAAL 2017,TK 2012
1,VVD,222 ,150 ,136 ,100 ,139 ,104 ,132 ,93 ,63 ,84 ,142 ,189 ,234 ,277 ,296 ,347 ,137 ,158 ,229 ,"3,232 ","3,589 "
2,P.v.d.A.,111 ,88 ,75 ,104 ,112 ,98 ,102 ,73 ,54 ,68 ,70 ,108 ,87 ,201 ,73 ,181 ,58 ,48 ,64 ,"1,775 ","6,207 "
3,PVV,50 ,107 ,104 ,113 ,73 ,55 ,112 ,87 ,147 ,46 ,52 ,74 ,21 ,87 ,29 ,123 ,66 ,43 ,29 ,"1,418 ",963 
4,SP,63 ,106 ,94 ,142 ,116 ,129 ,143 ,111 ,118 ,75 ,74 ,79 ,32 ,87 ,17 ,145 ,53 ,54 ,40 ,"1,678 ","1,863 "
5,CDA,87 ,124 ,84 ,126 ,70 ,81 ,85 ,90 ,65 ,74 ,65 ,108 ,78 ,135 ,97 ,179 ,64 ,100 ,141 ,"1,853 ","1,285 "
6,D66,465 ,240 ,194 ,194 ,220 ,203 ,218 ,207 ,134 ,185 ,236 ,273 ,261 ,513 ,175 ,431 ,170 ,368 ,798 ,"5,485 ","3,697 "
7, ChristenUnie,80 ,83 ,60 ,36 ,55 ,69 ,46 ,54 ,37 ,30 ,81 ,50 ,32 ,72 ,40 ,97 ,24 ,64 ,114 ,"1,124 ",797 
8,GROENLINKS,391 ,171 ,171 ,176 ,220 ,221 ,208 ,206 ,99 ,153 ,200 ,281 ,144 ,456 ,74 ,398 ,79 ,318 ,794 ,"4,760 ","1,661 "
9,SGP,10 ,32 ,9 ,10 ,4 ,17 ,10 ,3 ,4 ,8 ,11 ,25 ,14 ,10 ,19 ,17 ,2 ,14 ,14 ,233 ,233 
10,Partij voor de Dieren,106 ,54 ,43 ,35 ,44 ,58 ,41 ,47 ,32 ,31 ,48 ,52 ,47 ,101 ,26 ,51 ,12 ,64 ,147 ,"1,039 ",480 
11,50PLUS,10 ,19 ,26 ,60 ,23 ,22 ,33 ,24 ,23 ,7 ,14 ,21 ,11 ,18 ,8 ,29 ,19 ,9 ,2 ,378 ,214 
12,Ondernemers Partij,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,4 ,0 ,11 ,
13,VNL,7 ,4 ,0 ,1 ,2 ,4 ,2 ,2 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,3 ,2 ,3 ,4 ,37 ,
14,DENK,7 ,7 ,7 ,16 ,2 ,0 ,24 ,7 ,4 ,0 ,9 ,1 ,1 ,4 ,0 ,1 ,1 ,0 ,1 ,92 ,
15,NIEUWE WEGEN,1 ,0 ,0 ,0 ,1 ,0 ,2 ,2 ,4 ,0 ,1 ,0 ,3 ,1 ,0 ,3 ,0 ,1 ,1 ,20 ,
16,Forum voor Democratie,18 ,14 ,10 ,10 ,13 ,6 ,14 ,13 ,5 ,7 ,16 ,16 ,4 ,22 ,13 ,19 ,14 ,29 ,27 ,270 ,
17,De Burger Beweging,1 ,1 ,1 ,0 ,1 ,0 ,0 ,2 ,1 ,1 ,1 ,1 ,1 ,3 ,0 ,1 ,0 ,0 ,0 ,15 ,
18,Vrijzinnige Partij,0 ,1 ,0 ,0 ,0 ,1 ,0 ,2 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,10 ,
19,GeenPeil,1 ,2 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,11 ,
20,Piraten partij,4 ,9 ,6 ,6 ,4 ,4 ,5 ,7 ,9 ,5 ,6 ,6 ,2 ,8 ,0 ,7 ,1 ,12 ,18 ,119 ,100 
21,Artikel 1,0 ,1 ,2 ,2 ,0 ,0 ,1 ,1 ,4 ,4 ,2 ,0 ,1 ,1 ,0 ,1 ,0 ,1 ,2 ,23 ,
22,Niet Stemmers,0 ,2 ,2 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,3 ,0 ,14 ,
23,Libertarische Partij,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,4 ,11 
24,Lokaal in de Kamer,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,2 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,8 ,
25,JESUS LEEFT,0 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,8 ,
26,StemNL,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,
27,MenS en Spirit / …,1 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,8 ,36 
,Overige TK 2012,,,0 ,,,,,,,,,,,,,,,,,,50 
,BLANCO,2 ,0 ,3 ,7 ,0 ,1 ,1 ,2 ,7 ,0 ,3 ,2 ,0 ,7 ,0 ,0 ,0 ,0 ,5 ,40 ,44 
,NIET GELDIG,4 ,8 ,,8 ,1 ,,8 ,0 ,5 ,0 ,4 ,10 ,3 ,5 ,2 ,1 ,0 ,1 ,10 ,70 ,27 
,,,,,,,,,,,,,,,,,,,,,,
,TOTAAL,"1,641 ","1,228 ","1,030 ","1,149 ","1,101 ","1,074 ","1,192 ","1,037 ",819 ,779 ,"1,041 ","1,300 ",977 ,"2,018 ",870 ,"2,035 ",703 ,"1,298 ","2,444 ","23,736 ","21,257 "
,,,,,,,,,,,,,,,,,,,,,,
,Aantal kiesgerechtigden,"1,886","1,821","1,862","1,795","1,325","1,543","1,603",956,"1,219","1,207","1,588","1,450","1,012","1,875","1,259","1,956","1,192","1,465",935,"27,949","26,312"
,Opkomst,87.01%,67.44%,55.32%,64.01%,83.09%,69.60%,74.36%,108.47%,67.19%,64.54%,65.55%,89.66%,96.54%,107.63%,69.10%,104.04%,58.98%,88.60%,261.39%,84.93%,80.79%
,,,,,,,,,,,,,,,,,,,,,,
,,Gem.huis,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
